"Trueode.time","Trueode.1","Trueode.2","noisyob.1","noisyob.2","noise.1","noise.2"
0,5,3,5.01957520779933,3.13605632232804,0.0195752077993312,0.136056322328036
0.1,4.05165241230957,3.1586174109269,4.14925360848892,3.06735092140645,0.0976011961793546,-0.0912664895204514
0.2,3.27645158957772,3.04905345819697,3.27276350241829,3.12708767201151,-0.00368808715942937,0.0780342138145396
0.3,2.70629850770833,2.75198518703653,2.70386244491632,2.87641891711247,-0.00243606279201058,0.124433730075936
0.4,2.31457685799863,2.36802096103341,2.31678802588292,2.31080980323795,0.00221116788429754,-0.0572111577954577
0.5,2.05915062354417,1.97342977420222,1.98829291014087,1.81167032352112,-0.0708577134033068,-0.161759450681101
0.6,1.90298628033117,1.6115243078565,1.81040704871147,1.60897305018891,-0.0925792316196992,-0.00255125766759079
0.7,1.81898062217916,1.30052161606674,1.9642855817198,1.12636392784244,0.145304959540636,-0.174157688224301
0.8,1.78873197331878,1.04368891700348,1.77304227572293,1.03678989421855,-0.0156896975958423,-0.00689902278492904
0.9,1.80014823629444,0.836855667854327,1.75644361593272,0.917842923206712,-0.0437046203617162,0.0809872553523849
1,1.84541551757342,0.672950829862428,1.79367830228973,0.644169144066083,-0.0517372152836899,-0.0287816857963452
1.1,1.91956918282551,0.544406774781744,1.8804548398045,0.588795436283138,-0.0391143430210013,0.0443886615013944
1.2,2.0195546022065,0.44427648487234,1.95555854326319,0.429428968623568,-0.0639960589433153,-0.0148475162487715
1.3,2.14362097806427,0.366650898056965,2.15353735682324,0.467037416108042,0.00991637875897267,0.100386518051077
1.4,2.29093020209144,0.30672325718486,2.29979812673352,0.409072264986888,0.00886792464207709,0.102349007802028
1.5,2.46129892936079,0.260698704766655,2.56764288896148,0.412397969019685,0.106343959600689,0.15169926425303
1.6,2.65502222985694,0.225649945987731,2.69116629628592,0.337863967391098,0.0361440664289758,0.112214021403367
1.7,2.87274342437387,0.199371527087348,2.77501580110023,0.263314533584581,-0.0977276232736379,0.0639430064972325
1.8,3.11534698237592,0.180253322940153,3.20333409167093,0.323452505717179,0.0879871092950051,0.143199182777025
1.9,3.38385490944921,0.167185356375049,3.40985726187671,-0.0161164316798694,0.0260023524275019,-0.183301788054918
2,3.67930733067249,0.159498223115468,3.59948928463476,0.221379751588166,-0.0798180460377367,0.061881528472698
