"Trueode.time","Trueode.1","Trueode.2","noisyob.1","noisyob.2","noise.1","noise.2"
0,5,3,5.04893801949833,3.34014080582009,0.048938019498328,0.340140805820091
0.1,4.05165241230957,3.1586174109269,4.29565540275796,2.93045118712577,0.244002990448386,-0.228166223801129
0.2,3.27645158957772,3.04905345819697,3.26723137167915,3.24413899273332,-0.00922021789857297,0.195085534536349
0.3,2.70629850770833,2.75198518703653,2.70020835072831,3.06306951222637,-0.00609015698002668,0.311084325189841
0.4,2.31457685799863,2.36802096103341,2.32010477770937,2.22499306654477,0.00552791971074384,-0.143027894488645
0.5,2.05915062354417,1.97342977420222,1.88200634003591,1.56903114749946,-0.177144283508267,-0.404398626702752
0.6,1.90298628033117,1.6115243078565,1.67153820128192,1.60514616368752,-0.231448079049248,-0.00637814416897697
0.7,1.81898062217916,1.30052161606674,2.18224302103075,0.865127395505991,0.36326239885159,-0.435394220560752
0.8,1.78873197331878,1.04368891700348,1.74950772932917,1.02644136004116,-0.0392242439896056,-0.0172475569623227
0.9,1.80014823629444,0.836855667854327,1.69088668539015,1.03932380623529,-0.10926155090429,0.202468138380962
1,1.84541551757342,0.672950829862428,1.71607247936419,0.600996615371565,-0.129343038209225,-0.071954214490863
1.1,1.91956918282551,0.544406774781744,1.821783325273,0.65537842853523,-0.0977858575525032,0.110971653753486
1.2,2.0195546022065,0.44427648487234,1.85956445484821,0.407157694250411,-0.159990147358288,-0.0371187906219287
1.3,2.14362097806427,0.366650898056965,2.1684119249617,0.617617193184657,0.0247909468974319,0.250966295127692
1.4,2.29093020209144,0.30672325718486,2.31310001369663,0.562595776689931,0.0221698116051932,0.255872519505071
1.5,2.46129892936079,0.260698704766655,2.72715882836252,0.63994686539923,0.265859899001723,0.379248160632575
1.6,2.65502222985694,0.225649945987731,2.74538239592938,0.506184999496149,0.0903601660724394,0.280535053508418
1.7,2.87274342437387,0.199371527087348,2.62842436618978,0.35922904333043,-0.244319058184095,0.159857516243081
1.8,3.11534698237592,0.180253322940153,3.33531475561344,0.538251279882716,0.219967773237513,0.357997956942563
1.9,3.38385490944921,0.167185356375049,3.44886079051796,-0.291069113762247,0.065005881068755,-0.458254470137296
2,3.67930733067249,0.159498223115468,3.47976221557815,0.314202044297213,-0.199545115094342,0.154703821181745
