test
Iter,alpha,theta,kappa,log(sigma_z),log(lambda),mu_x,log(sigma_x),log(mu_z)
1537,0.079728894,0.019243017,-0.03423122,-2.408937,-4.971284,-2.4727993,0.23167735,0.8948424
1538,0.07968002,0.019343259,-0.034086328,-2.408271,-4.9592915,-2.4737735,0.22830954,0.88661
1539,0.07974227,0.019284556,-0.03410384,-2.4086087,-4.9606643,-2.4867961,0.24229668,0.8951869
1540,0.07961833,0.019217953,-0.034152787,-2.414848,-4.980591,-2.5005574,0.25096262,0.88687485
1541,0.079652235,0.019214991,-0.034210164,-2.4183114,-4.9818587,-2.5023856,0.2583994,0.89215356
1542,0.07959254,0.019264033,-0.034076195,-2.4207516,-4.9833436,-2.4965563,0.26459363,0.8896586
1543,0.07970538,0.019437913,-0.03429376,-2.4163773,-4.990548,-2.4889436,0.26110098,0.8722863
1544,0.07972089,0.019503783,-0.034351353,-2.4161305,-4.987135,-2.4806876,0.26692972,0.86135006
1545,0.07989393,0.019511946,-0.03431447,-2.416998,-4.9826665,-2.4815469,0.2698091,0.8765157
1546,0.07992252,0.019424792,-0.03430082,-2.3998988,-4.9805,-2.4782631,0.2548514,0.88026255
1547,0.08006342,0.01952066,-0.03432377,-2.392283,-4.963644,-2.478693,0.24850082,0.8817148
1548,0.08016077,0.019472986,-0.034182105,-2.3922155,-4.9603143,-2.4855018,0.23527049,0.875955
1549,0.080114126,0.01953628,-0.034170542,-2.4083612,-4.950009,-2.4757388,0.2425153,0.86207616
1550,0.08024095,0.019647518,-0.034228478,-2.3950365,-4.943367,-2.4923227,0.2359272,0.8624194
1551,0.08021502,0.019676924,-0.034028053,-2.3799927,-4.932941,-2.4934494,0.23002425,0.8574449
1552,0.08017523,0.019632962,-0.034034353,-2.3965642,-4.9401484,-2.5093353,0.22415154,0.83315164
1553,0.08026814,0.019515898,-0.034238096,-2.389091,-4.9633613,-2.5015156,0.20906484,0.79717207
1554,0.080452904,0.01919145,-0.03416826,-2.4041562,-4.9521627,-2.4888449,0.2105404,0.7732113
1555,0.080208324,0.019306669,-0.03428644,-2.3950264,-4.9377537,-2.4982157,0.21523939,0.7689399
1556,0.08030785,0.019334152,-0.034191478,-2.3985264,-4.926013,-2.5034156,0.20569262,0.7768351
1557,0.08024144,0.019546278,-0.03413486,-2.3980887,-4.9134927,-2.4877052,0.19875956,0.77506346
1558,0.08026309,0.019573731,-0.034151252,-2.3980558,-4.904086,-2.4991312,0.21659523,0.77786607
1559,0.08037531,0.019601567,-0.034202535,-2.389189,-4.8998356,-2.477418,0.21702567,0.78786826
1560,0.08044764,0.019639982,-0.034284238,-2.3780735,-4.8959074,-2.471,0.2028406,0.79208016
1561,0.080393866,0.019713074,-0.03435953,-2.3849857,-4.904492,-2.4777522,0.19813702,0.7936241
1562,0.08043304,0.019760106,-0.034359463,-2.3953729,-4.8832836,-2.4762535,0.19405204,0.7911435
1563,0.08047533,0.019730529,-0.034476668,-2.3881934,-4.881851,-2.4916031,0.18081844,0.8132547
1564,0.08032269,0.019728383,-0.034501154,-2.4115689,-4.8801866,-2.504223,0.16838196,0.8132274
1565,0.08043332,0.01982102,-0.034594104,-2.402748,-4.8929834,-2.4986417,0.17169736,0.82876384
1566,0.08046095,0.019738864,-0.034704633,-2.3991404,-4.8981075,-2.4808586,0.16025041,0.8165363
1567,0.08032821,0.019794652,-0.034846228,-2.396857,-4.8899274,-2.4983723,0.16229503,0.8171927
1568,0.08017656,0.01960436,-0.03478843,-2.3893628,-4.903546,-2.498258,0.15224665,0.8056641
1569,0.08015465,0.019743409,-0.03487454,-2.397367,-4.915379,-2.5072794,0.1433413,0.81532884
1570,0.08015795,0.019841006,-0.034744624,-2.407164,-4.910375,-2.5081348,0.14654617,0.808663
1571,0.080126315,0.019858537,-0.034675,-2.418567,-4.9017262,-2.4959536,0.14471327,0.8087255
1572,0.0800795,0.019874012,-0.034551516,-2.4264154,-4.891438,-2.4987268,0.15711024,0.80359364
1573,0.08017742,0.019810982,-0.0344639,-2.4272285,-4.8989563,-2.5050652,0.16425307,0.81580174
1574,0.08009903,0.019696414,-0.034484323,-2.4306176,-4.892827,-2.503493,0.16609079,0.79246885
1575,0.08029877,0.01955096,-0.034633934,-2.4385602,-4.8927226,-2.5026608,0.18188812,0.78557825
1576,0.08045359,0.019547123,-0.034671653,-2.4244275,-4.892406,-2.5114388,0.19908911,0.7797623
1577,0.080511406,0.019487845,-0.03485174,-2.4092598,-4.898202,-2.5132802,0.20038158,0.76334953
1578,0.080605984,0.019409142,-0.03486102,-2.4105663,-4.8941813,-2.5245888,0.19198346,0.76241565
1579,0.08055936,0.019297747,-0.034812868,-2.4004939,-4.8885326,-2.533146,0.19411637,0.7676182
1580,0.0805773,0.019268228,-0.034848604,-2.3961205,-4.8897963,-2.5397866,0.19859093,0.76399165
1581,0.08060249,0.019254832,-0.034949876,-2.3811579,-4.8929634,-2.5387645,0.21786442,0.7815375
1582,0.080581754,0.019241702,-0.03508873,-2.3824859,-4.8774853,-2.531254,0.22659837,0.7906668
1583,0.08053289,0.019238004,-0.035223182,-2.3645008,-4.87809,-2.5317636,0.2197676,0.78624684
1584,0.08071017,0.019276554,-0.035273436,-2.378238,-4.8694844,-2.5453017,0.21834867,0.79498696
1585,0.08063745,0.019196035,-0.035245106,-2.377078,-4.8620734,-2.5539672,0.203065,0.80150455
1586,0.08063159,0.019113442,-0.03525178,-2.3794434,-4.8684454,-2.5718143,0.20041332,0.792922
1587,0.08063338,0.01907864,-0.035294186,-2.3789392,-4.8593106,-2.5756514,0.20041966,0.79631925
1588,0.08056686,0.019032571,-0.035449184,-2.3735294,-4.855114,-2.5973547,0.21302925,0.8067924
1589,0.08057779,0.019024633,-0.03550881,-2.3903775,-4.8854594,-2.6027975,0.21035469,0.7899481
1590,0.08068805,0.01895021,-0.03554314,-2.390741,-4.876646,-2.5968337,0.21701925,0.79429823
1591,0.08055644,0.018885922,-0.035477236,-2.3835018,-4.8817124,-2.6116207,0.21437386,0.76772153
1592,0.0805409,0.018967947,-0.035277784,-2.3996508,-4.885965,-2.6082406,0.2130789,0.7462065
1593,0.0807009,0.019001955,-0.03533029,-2.3947272,-4.875774,-2.6306796,0.21612066,0.7459884
1594,0.08058334,0.019000942,-0.035400644,-2.4068112,-4.8771396,-2.6235373,0.21723895,0.7484497
1595,0.08055325,0.018861936,-0.03527616,-2.4065962,-4.8669057,-2.6240673,0.20881304,0.7484162
1596,0.080370896,0.018866453,-0.03529954,-2.4028316,-4.8707247,-2.6148574,0.19934787,0.7479717
1597,0.0804625,0.019022027,-0.035220683,-2.4107275,-4.8733926,-2.6094441,0.19097985,0.74481213
1598,0.08033799,0.019005343,-0.03523256,-2.4182198,-4.877129,-2.6217353,0.17623888,0.7425417
1599,0.08024944,0.019049965,-0.0350938,-2.4047654,-4.86182,-2.617386,0.1792309,0.75375426
1600,0.080262534,0.019127676,-0.03519006,-2.4063556,-4.8562007,-2.6124778,0.18422022,0.7724344
1601,0.08024154,0.01909858,-0.03524943,-2.419725,-4.8496323,-2.591245,0.18990475,0.78030086
1602,0.08032378,0.019126993,-0.03516033,-2.424239,-4.8563633,-2.6002793,0.19779487,0.78942907
1603,0.08062141,0.019193344,-0.035104252,-2.4416397,-4.8522434,-2.6060386,0.20122318,0.78827286
1604,0.08074935,0.019109173,-0.035193287,-2.4527683,-4.826003,-2.5919745,0.21412416,0.78770065
1605,0.08078837,0.019137617,-0.03504348,-2.4618056,-4.8212037,-2.5837958,0.22838114,0.7830364
1606,0.0805705,0.019219656,-0.0349845,-2.448568,-4.819446,-2.5836432,0.23130374,0.7811889
1607,0.08065983,0.019284101,-0.035017006,-2.4447212,-4.819815,-2.5817935,0.22645122,0.785197
1608,0.080692165,0.019295597,-0.03494097,-2.4554343,-4.816426,-2.600633,0.23163654,0.790724
1609,0.08057955,0.019309165,-0.034808267,-2.4467897,-4.8234463,-2.6021035,0.23319799,0.79284483
1610,0.08075934,0.01923373,-0.034849178,-2.4457011,-4.8155193,-2.6160645,0.2373246,0.808245
1611,0.0807629,0.01918284,-0.035008162,-2.4526267,-4.812304,-2.6233497,0.23115513,0.8225715
1612,0.080842815,0.019200549,-0.034975577,-2.4654922,-4.8259845,-2.6058939,0.22972442,0.8124087
1613,0.080951706,0.019234201,-0.03497961,-2.467145,-4.833213,-2.6019692,0.24051385,0.81984997
1614,0.080704525,0.019425564,-0.035127148,-2.464731,-4.8247867,-2.6039968,0.24964243,0.82637537
1615,0.080719955,0.019432146,-0.03518941,-2.4859233,-4.8201694,-2.585193,0.2494582,0.822901
1616,0.0807487,0.019345433,-0.035150878,-2.471126,-4.8344975,-2.589043,0.25677633,0.81765336
1617,0.0806548,0.019378733,-0.035216734,-2.472985,-4.8409047,-2.5933692,0.25551954,0.8168214
1618,0.08053444,0.019509226,-0.035032347,-2.4607108,-4.8451424,-2.6130009,0.25789192,0.8270307
1619,0.0806418,0.01947013,-0.034880806,-2.468483,-4.8413815,-2.6235352,0.26475167,0.81202847
1620,0.080566235,0.019490693,-0.034960955,-2.4551792,-4.8397026,-2.644094,0.25805366,0.8078949
1621,0.08059721,0.019405244,-0.034994148,-2.4547024,-4.8246937,-2.6540904,0.25505605,0.8067201
1622,0.08065489,0.019337203,-0.034961246,-2.4693813,-4.8285246,-2.6450846,0.2686213,0.8043315
1623,0.0806341,0.019310506,-0.034903947,-2.4746437,-4.851786,-2.637885,0.28063846,0.80646753
1624,0.08061946,0.019344922,-0.03498672,-2.469758,-4.8514752,-2.624869,0.29484034,0.8084399
1625,0.08083159,0.019360073,-0.03500333,-2.4874291,-4.853619,-2.640679,0.27643406,0.7997712
1626,0.08087817,0.019353993,-0.03515802,-2.5027661,-4.8564043,-2.6294692,0.27195683,0.8024943
1627,0.08097095,0.019357331,-0.035065033,-2.4898143,-4.854096,-2.6130457,0.27289286,0.80868936
1628,0.08093778,0.019347645,-0.0350563,-2.4731925,-4.8636236,-2.6214833,0.26714286,0.7867826
1629,0.08088087,0.01929201,-0.035053436,-2.474645,-4.8566823,-2.6115723,0.27365923,0.7998981
1630,0.08084736,0.019212106,-0.035155382,-2.4762022,-4.8548923,-2.6287324,0.26532263,0.8085769
1631,0.080916494,0.019192804,-0.035046093,-2.4864643,-4.8458242,-2.6119103,0.26213303,0.81561965
1632,0.080955066,0.019169979,-0.035021,-2.5002582,-4.8490634,-2.6107123,0.2494813,0.8170709
1633,0.08097636,0.019205412,-0.035020743,-2.5186503,-4.8226566,-2.596309,0.2415683,0.7895562
1634,0.08086899,0.019231955,-0.034979973,-2.5132623,-4.830511,-2.6185305,0.24348228,0.77413327
1635,0.08097763,0.019165466,-0.03504414,-2.5106635,-4.832297,-2.6404386,0.25217333,0.7827105
1636,0.080978796,0.019254176,-0.034961496,-2.5187054,-4.8274302,-2.6346865,0.26420656,0.79935336
1637,0.08079137,0.019141737,-0.034958273,-2.5195887,-4.8214307,-2.6411593,0.25607735,0.8033295
1638,0.08072861,0.019362772,-0.034984503,-2.5144155,-4.8141046,-2.658448,0.25495082,0.81245846
1639,0.08089847,0.019600067,-0.035052203,-2.5165272,-4.8308454,-2.672338,0.25458527,0.8074351
1640,0.0809086,0.019600814,-0.03503603,-2.5196512,-4.834997,-2.6652448,0.25220436,0.8255648
1641,0.080918945,0.019607043,-0.035004973,-2.5360336,-4.846156,-2.6472669,0.26537883,0.8275436
1642,0.080910385,0.019543631,-0.034932707,-2.5297558,-4.8318324,-2.64568,0.26764542,0.80768555
1643,0.080876276,0.019792052,-0.034888394,-2.5291085,-4.8389235,-2.6419482,0.2595819,0.8101223
1644,0.08102268,0.01969804,-0.034838095,-2.535492,-4.82948,-2.6431925,0.26375276,0.82921416
1645,0.08100897,0.01967245,-0.034800816,-2.5312343,-4.825324,-2.6376817,0.26676574,0.8267882
1646,0.08117221,0.019626273,-0.034899935,-2.5242572,-4.8100286,-2.6377714,0.2701135,0.8399533
1647,0.08136528,0.019703753,-0.035021447,-2.538291,-4.7945867,-2.6271248,0.28372607,0.838501
1648,0.08134387,0.019555898,-0.035077207,-2.556317,-4.8006287,-2.6478167,0.27256897,0.8253554
1649,0.08124752,0.019541962,-0.035114348,-2.5478437,-4.797609,-2.6470292,0.27596495,0.84091806
1650,0.08120701,0.019594707,-0.0352055,-2.5426195,-4.804477,-2.658844,0.2697859,0.84334964
1651,0.08115016,0.019719187,-0.03526961,-2.5437117,-4.819056,-2.6645246,0.26364228,0.85608387
1652,0.08114909,0.019769149,-0.035227474,-2.5297513,-4.824385,-2.6433642,0.26291513,0.88247037
1653,0.081354424,0.019965505,-0.03514541,-2.5263474,-4.8258204,-2.6448982,0.26181495,0.8897081
1654,0.081300326,0.020076253,-0.03528787,-2.5062153,-4.8109574,-2.6471684,0.26195693,0.8939702
1655,0.08131832,0.020179035,-0.035251968,-2.497601,-4.8297877,-2.6590986,0.24940675,0.8863146
1656,0.08137407,0.020074002,-0.03526099,-2.5065773,-4.8037233,-2.6491227,0.2531647,0.8982435
1657,0.08118379,0.02005084,-0.0353346,-2.5004666,-4.8050165,-2.642713,0.24597268,0.89472955
1658,0.08125059,0.019938765,-0.03533994,-2.515349,-4.808385,-2.6527274,0.25073066,0.9142905
1659,0.081220895,0.019799747,-0.035435535,-2.5376704,-4.79625,-2.6435225,0.2452273,0.9151551
1660,0.08120772,0.019738577,-0.03549525,-2.5499995,-4.800814,-2.6577697,0.24099061,0.9227012
1661,0.08133648,0.019737942,-0.035632055,-2.538172,-4.7945676,-2.6629517,0.25010946,0.91988343
1662,0.08145639,0.019583283,-0.035645485,-2.557391,-4.81166,-2.6757352,0.271953,0.9183037
1663,0.08157541,0.019544374,-0.035515394,-2.566815,-4.8016553,-2.6753635,0.2819516,0.9222461
1664,0.08150721,0.019606723,-0.035561264,-2.5701706,-4.8010497,-2.673665,0.2845096,0.9261025
1665,0.08167221,0.019775396,-0.035457842,-2.5839279,-4.796558,-2.650882,0.28113964,0.95372427
1666,0.08180839,0.019782709,-0.035361525,-2.5783854,-4.7964263,-2.649996,0.28452167,0.9521918
1667,0.08186337,0.019858133,-0.03523699,-2.5794523,-4.79973,-2.6502202,0.28546977,0.9385965
1668,0.081728846,0.019712532,-0.03506328,-2.5689666,-4.809308,-2.6569655,0.29413685,0.9312043
1669,0.0818539,0.019716924,-0.034975003,-2.5633695,-4.8188615,-2.6663485,0.3042419,0.93778116
1670,0.08188083,0.019765042,-0.034978136,-2.5698628,-4.828444,-2.6602604,0.28231993,0.95111644
1671,0.08193338,0.019854305,-0.034961328,-2.576566,-4.8137712,-2.6601543,0.27589452,0.9612076
1672,0.08205166,0.019982332,-0.034889475,-2.5731778,-4.8031144,-2.6759472,0.2875772,0.964192
1673,0.082188025,0.020145386,-0.034823228,-2.5601983,-4.800393,-2.691815,0.29302287,0.96091783
1674,0.08218401,0.020235257,-0.034856327,-2.5571666,-4.792417,-2.7005959,0.28999546,0.9553262
1675,0.08231359,0.020302383,-0.034738112,-2.5447161,-4.7939405,-2.703702,0.2879009,0.9572265
1676,0.08214626,0.02018952,-0.034854412,-2.5417488,-4.7883897,-2.7117958,0.29462096,0.95051146
1677,0.082197875,0.020122986,-0.034769468,-2.544245,-4.7959356,-2.7228587,0.29287276,0.94771045
1678,0.08221694,0.020111678,-0.03466633,-2.5412877,-4.8065977,-2.7244883,0.304277,0.94914365
1679,0.08232847,0.020096676,-0.034618843,-2.5380168,-4.8265386,-2.7157516,0.30017036,0.9624684
1680,0.082397744,0.020044537,-0.034519993,-2.5506837,-4.8317604,-2.710985,0.30488467,0.9557078
1681,0.08240637,0.020105556,-0.03462406,-2.5411258,-4.8291225,-2.7287605,0.31089008,0.96031654
1682,0.08244,0.020003106,-0.034657642,-2.5418499,-4.8260007,-2.7120764,0.3063547,0.96771866
1683,0.08241518,0.02012097,-0.034623593,-2.5234861,-4.8264594,-2.691401,0.2919972,0.9828672
1684,0.08258998,0.02011151,-0.034595538,-2.5167131,-4.8201804,-2.7151794,0.2807652,0.9888512
1685,0.08264954,0.020096011,-0.034525704,-2.5158725,-4.820418,-2.702615,0.28044918,0.99123895
1686,0.08274905,0.019968959,-0.034527816,-2.5211833,-4.8131433,-2.6938734,0.2667315,1.0008732
1687,0.082743205,0.019845191,-0.034470376,-2.5161135,-4.809425,-2.689575,0.27209488,1.0133734
1688,0.08255959,0.01982622,-0.03454943,-2.5078857,-4.8181047,-2.6840916,0.27575424,0.9979841
1689,0.08249535,0.01980735,-0.034551393,-2.4955952,-4.8122864,-2.6937625,0.28494236,0.98307884
1690,0.08249479,0.019944431,-0.03459471,-2.491001,-4.80946,-2.6926754,0.29129383,0.9796775
1691,0.082571715,0.02013343,-0.03453788,-2.4835296,-4.796745,-2.7047858,0.29509506,1.0009774
1692,0.082637094,0.020025825,-0.0346082,-2.479802,-4.7921653,-2.6981032,0.29466873,1.0189497
1693,0.08255472,0.020165192,-0.03472,-2.4882138,-4.789125,-2.6923819,0.308682,1.0200827
1694,0.08255332,0.020056264,-0.034913745,-2.4899468,-4.776108,-2.6988125,0.30894405,1.0214514
1695,0.08276509,0.019988798,-0.034940142,-2.4910257,-4.7965093,-2.6955929,0.30027744,1.0164087
1696,0.08289642,0.019807028,-0.03499947,-2.4813561,-4.7980185,-2.711246,0.29154408,1.0086126
1697,0.08296472,0.019901903,-0.035003126,-2.4837825,-4.8075814,-2.7064548,0.29989815,1.0130085
1698,0.082967885,0.019893562,-0.034929026,-2.4800298,-4.7942133,-2.71193,0.2968289,1.0165887
1699,0.08290157,0.01981076,-0.03490483,-2.4798613,-4.7875566,-2.7042043,0.28642434,1.0276382
1700,0.08270596,0.019932346,-0.03487298,-2.491088,-4.7767897,-2.7040515,0.29249611,1.024061
1701,0.08261123,0.020050153,-0.034786277,-2.4869504,-4.7796826,-2.6903331,0.27772224,1.0375049
1702,0.082586415,0.020259494,-0.034697607,-2.4894245,-4.7758064,-2.6854243,0.271953,1.039977
1703,0.08248094,0.020215621,-0.03437904,-2.49106,-4.7759647,-2.6890671,0.26455367,1.0435535
1704,0.08255159,0.020330533,-0.034367744,-2.4938295,-4.773343,-2.6893332,0.2688961,1.0455389
1705,0.08261752,0.020173589,-0.03433861,-2.4881432,-4.7793217,-2.6932132,0.25895196,1.0350418
1706,0.08277348,0.020165777,-0.034243826,-2.4897566,-4.801336,-2.6881115,0.25208163,1.0348641
1707,0.08288762,0.020094262,-0.034344137,-2.4934213,-4.79175,-2.697763,0.25582007,1.0537608
1708,0.0828089,0.02005374,-0.0343088,-2.4848158,-4.7825646,-2.7019286,0.25879583,1.0613189
1709,0.08274226,0.020260854,-0.0343622,-2.4731293,-4.774765,-2.7060244,0.26042745,1.06166
1710,0.08272982,0.02026205,-0.034201257,-2.4562101,-4.769879,-2.7186067,0.2672001,1.0663009
1711,0.08289101,0.020247912,-0.0342789,-2.443768,-4.7752137,-2.7179422,0.28078762,1.0615114
1712,0.0828969,0.020266311,-0.03442482,-2.4342954,-4.7823415,-2.7084208,0.269706,1.0655199
1713,0.08282672,0.02019205,-0.03449577,-2.4272902,-4.783538,-2.6913674,0.27110156,1.0611289
1714,0.08284601,0.020264173,-0.03437011,-2.4153702,-4.775244,-2.690555,0.26010147,1.0640941
1715,0.082833774,0.020331748,-0.034508035,-2.4071753,-4.7785187,-2.6730232,0.2668802,1.0707843
1716,0.08294494,0.020341644,-0.03452375,-2.407881,-4.764572,-2.6657043,0.24246432,1.0680488
1717,0.08304329,0.02045854,-0.034487758,-2.393544,-4.7570806,-2.6686568,0.239154,1.0661136
1718,0.08297529,0.020566598,-0.034244906,-2.3957665,-4.7736917,-2.6951375,0.22657202,1.0652604
1719,0.08293899,0.020577546,-0.034135666,-2.3958995,-4.7786574,-2.7127,0.23795664,1.0607338
1720,0.08300205,0.020406593,-0.034186244,-2.3749502,-4.783665,-2.730088,0.24460845,1.0572876
1721,0.08294094,0.020480817,-0.034182753,-2.3587506,-4.783656,-2.7618814,0.24892819,1.0484177
1722,0.08293754,0.020275945,-0.03407697,-2.371606,-4.7854795,-2.7471457,0.25102872,1.0653578
1723,0.08305486,0.020254089,-0.034220338,-2.3740573,-4.7690253,-2.744807,0.25041655,1.0731342
1724,0.083010994,0.02022101,-0.03412186,-2.3843567,-4.766544,-2.7386823,0.2503155,1.0650331
1725,0.08293696,0.020137416,-0.034209747,-2.3852606,-4.7628956,-2.7467797,0.24671336,1.0548218
1726,0.082861885,0.020171234,-0.034071844,-2.3988416,-4.771261,-2.7370317,0.25213015,1.0606649
1727,0.082749985,0.020228568,-0.034032136,-2.3897417,-4.7739286,-2.7332656,0.2334944,1.0731927
1728,0.08273246,0.02031534,-0.03423062,-2.3920376,-4.7708035,-2.7267199,0.22392817,1.0774531
1729,0.082927346,0.020438036,-0.034283686,-2.3870482,-4.752444,-2.7255766,0.2257367,1.0669786
1730,0.082860865,0.020395009,-0.034197215,-2.392434,-4.7422986,-2.7169127,0.23260185,1.0616008
1731,0.082917474,0.020499488,-0.03427537,-2.3936057,-4.7329984,-2.6973186,0.23449196,1.0703882
1732,0.08315677,0.020468302,-0.034163598,-2.393671,-4.7479224,-2.6945405,0.23806216,1.0852817
1733,0.08315252,0.020551428,-0.034118306,-2.3929036,-4.743358,-2.69768,0.23889092,1.0841321
1734,0.08324929,0.020472817,-0.03430677,-2.3819253,-4.745013,-2.6817334,0.24614626,1.0876008
1735,0.083287634,0.020373773,-0.034279704,-2.3683367,-4.7538896,-2.671949,0.26269114,1.088524
1736,0.08332167,0.020454416,-0.03430474,-2.3539543,-4.7552457,-2.672332,0.26334745,1.1088377
1737,0.083202064,0.02055733,-0.034243945,-2.3579745,-4.755954,-2.6613142,0.26617756,1.1115375
1738,0.083146594,0.020590188,-0.0342298,-2.3590589,-4.7720885,-2.635918,0.2649069,1.1098316
1739,0.08314364,0.020541055,-0.03412265,-2.3382242,-4.7764792,-2.6344929,0.27270994,1.1045556
1740,0.083332136,0.020634199,-0.03422656,-2.3470252,-4.7732024,-2.6390078,0.28806782,1.1160066
1741,0.08341409,0.020734569,-0.034163687,-2.363692,-4.7728534,-2.639168,0.29831254,1.1248513
1742,0.08349944,0.020720026,-0.034008514,-2.3646889,-4.7813196,-2.6355262,0.29569197,1.1256318
1743,0.083504416,0.02052565,-0.033954203,-2.3803694,-4.7734017,-2.6501977,0.27134258,1.1020453
1744,0.08354999,0.020380808,-0.033970814,-2.3736112,-4.7890053,-2.634264,0.2609673,1.1136445
1745,0.08349348,0.02045594,-0.03390322,-2.3840258,-4.7682395,-2.6485636,0.24534944,1.1155969
1746,0.08360797,0.020609424,-0.03404342,-2.391711,-4.758087,-2.6429188,0.25343335,1.1162866
1747,0.083557956,0.020912662,-0.034058183,-2.3897114,-4.777344,-2.6370037,0.25197712,1.1179723
1748,0.08359061,0.020989038,-0.034151647,-2.393043,-4.7693005,-2.6493042,0.23922165,1.1138183
1749,0.083437726,0.02103548,-0.034200028,-2.4027395,-4.7844987,-2.6622999,0.24174201,1.12997
1750,0.08341272,0.02097015,-0.03422319,-2.4047124,-4.788239,-2.6482956,0.25069487,1.1299477
1751,0.08345952,0.020904055,-0.03420663,-2.3978262,-4.7840295,-2.6716728,0.25385833,1.1155972
1752,0.08331075,0.020880662,-0.034363154,-2.4113705,-4.7999344,-2.6717184,0.24602635,1.1161664
1753,0.08320604,0.020973664,-0.034456067,-2.4159691,-4.7882953,-2.661413,0.24428748,1.108027
1754,0.08330064,0.021031508,-0.034534406,-2.4235725,-4.788205,-2.6668017,0.25467676,1.128666
1755,0.0834542,0.020910326,-0.034505617,-2.4311416,-4.816124,-2.6759071,0.2674122,1.1197042
1756,0.08357475,0.02100717,-0.034256,-2.443064,-4.814061,-2.6644828,0.26507926,1.1165092
1757,0.08348114,0.020938022,-0.034315586,-2.4583113,-4.817694,-2.6622918,0.28297648,1.126959
1758,0.08359665,0.021040156,-0.034394592,-2.4372356,-4.829424,-2.6770906,0.27229622,1.1370696
1759,0.08375836,0.02077674,-0.03464609,-2.4436996,-4.818096,-2.6616402,0.2824089,1.1313477
1760,0.08372457,0.02089787,-0.034714103,-2.4515471,-4.821882,-2.662102,0.27860293,1.1224732
1761,0.08385892,0.02103825,-0.034844574,-2.4414072,-4.810806,-2.6468914,0.28212023,1.1354941
1762,0.08369255,0.0211393,-0.0348681,-2.4439235,-4.8034015,-2.6552534,0.28849798,1.1242577
1763,0.083562136,0.02114558,-0.034757383,-2.4317071,-4.807178,-2.6386833,0.28486028,1.132809
1764,0.08354216,0.021272754,-0.03452482,-2.4490094,-4.8064513,-2.641022,0.28708076,1.112434
1765,0.08345721,0.021307882,-0.034458008,-2.4346528,-4.8071685,-2.6409025,0.29358247,1.1196251
1766,0.08338563,0.021293685,-0.034756713,-2.430117,-4.814853,-2.6366656,0.28071508,1.1408356
1767,0.08348974,0.02117513,-0.034801994,-2.43117,-4.8311753,-2.632989,0.2974773,1.1258336
1768,0.08363446,0.021137474,-0.034748282,-2.4398913,-4.8365927,-2.6268787,0.30249166,1.1292987
1769,0.08357781,0.021157874,-0.034672078,-2.4349873,-4.8446054,-2.618793,0.31694168,1.1224786
1770,0.08357785,0.02108295,-0.03471469,-2.4317045,-4.850358,-2.614374,0.3284408,1.1316435
1771,0.08359964,0.021024972,-0.034628898,-2.4378638,-4.837986,-2.6277502,0.32974732,1.1363144
1772,0.08355846,0.020927222,-0.0346597,-2.4312932,-4.838669,-2.6269197,0.33539617,1.133868
1773,0.08369666,0.021021273,-0.034950413,-2.4468966,-4.8412666,-2.6240451,0.3278895,1.1543994
1774,0.08377067,0.020777063,-0.03498048,-2.452096,-4.8308125,-2.632323,0.32361624,1.1548038
1775,0.08386634,0.020817176,-0.03497472,-2.448711,-4.821441,-2.629729,0.32836643,1.1590574
1776,0.08385626,0.020915192,-0.03504745,-2.449452,-4.8304157,-2.6256917,0.33448458,1.1541237
1777,0.083720095,0.020935297,-0.035137523,-2.4381888,-4.8312607,-2.628872,0.33003968,1.1503613
1778,0.08374944,0.020819185,-0.035037972,-2.4272935,-4.8322678,-2.616667,0.3237294,1.1559279
1779,0.08380782,0.02073486,-0.035092045,-2.4217858,-4.812295,-2.5994222,0.33316886,1.1533772
1780,0.08386462,0.020725187,-0.03515861,-2.4174304,-4.805115,-2.5927997,0.33453658,1.1648427
1781,0.08383387,0.020854574,-0.035042576,-2.41548,-4.795856,-2.585827,0.32483274,1.1753882
1782,0.08376697,0.02070147,-0.034995746,-2.4086025,-4.8016324,-2.5787828,0.30493602,1.1858026
1783,0.0837167,0.020799395,-0.035013136,-2.4016154,-4.796681,-2.5807838,0.31580532,1.1578432
1784,0.083610125,0.020859545,-0.034898583,-2.4030452,-4.8074484,-2.581967,0.31751925,1.1453322
1785,0.08369474,0.020688582,-0.034872927,-2.4078853,-4.8022227,-2.584495,0.31586608,1.1314216
1786,0.083786525,0.020572452,-0.034889787,-2.389829,-4.7973447,-2.5759416,0.30894276,1.1351209
1787,0.08376667,0.020523932,-0.034959648,-2.3739898,-4.791753,-2.561966,0.30482167,1.1521052
1788,0.08373533,0.020454628,-0.03493352,-2.374378,-4.8116765,-2.5564315,0.29572535,1.1438869
1789,0.083698615,0.020386165,-0.034935784,-2.366354,-4.802895,-2.5573473,0.29636136,1.1420336
1790,0.08357725,0.020235023,-0.034925066,-2.336921,-4.792566,-2.553928,0.30033416,1.1426524
1791,0.08368871,0.020052595,-0.03491647,-2.3308465,-4.785933,-2.5568244,0.29987875,1.1399843
1792,0.08372668,0.020141996,-0.03491092,-2.3365238,-4.7871866,-2.5492496,0.31231156,1.1702437
1793,0.08375788,0.020069994,-0.034995425,-2.3261034,-4.7760797,-2.546363,0.31726983,1.1771642
1794,0.08390063,0.020026196,-0.03505767,-2.3464642,-4.7714963,-2.5409179,0.30617526,1.1733866
