test
Iter,alpha,theta,kappa,log(sigma_z),log(lambda),mu_x,log(sigma_x),log(mu_z)
60,0.08102938,0.020558573,-0.029479198,-2.1561134,-4.698631,-2.980911,0.9887327,0.6724729
61,0.08102878,0.020688625,-0.02956077,-2.160838,-4.687466,-2.978599,1.0018973,0.6676393
62,0.08106435,0.020729754,-0.029435046,-2.1611853,-4.690223,-2.9902084,1.0069274,0.66707885
63,0.08108937,0.02088704,-0.02954393,-2.1641402,-4.7045875,-2.9844046,0.9956248,0.6691842
64,0.08102629,0.020906232,-0.029540436,-2.1373515,-4.724896,-2.9949312,1.022589,0.6781378
65,0.08097684,0.02088966,-0.029434916,-2.1433485,-4.7104287,-2.993041,1.034281,0.67247814
66,0.080985665,0.021003181,-0.029488403,-2.1390007,-4.726659,-2.9856327,1.036233,0.6707889
67,0.081216775,0.020996418,-0.029260367,-2.1560807,-4.7293444,-3.0138686,1.0257893,0.66880465
68,0.08125351,0.0209625,-0.029409733,-2.145298,-4.7472854,-3.009531,1.0304849,0.6527936
69,0.081337675,0.020958541,-0.02946608,-2.1370888,-4.748508,-3.0145977,1.0415636,0.6544832
70,0.08136621,0.021042736,-0.029431602,-2.1441488,-4.738326,-3.022523,1.0405186,0.64844275
71,0.08134816,0.020846086,-0.029328303,-2.1519885,-4.7345595,-3.0197277,1.0486324,0.6470125
72,0.0813363,0.020828763,-0.029375356,-2.1381276,-4.73407,-3.0095358,1.0460246,0.6416997
73,0.08120541,0.02074555,-0.029343477,-2.1259243,-4.7263083,-3.0085526,1.0480297,0.6348254
74,0.08121881,0.020824742,-0.029218433,-2.1159256,-4.7170377,-3.007825,1.0336819,0.62743485
75,0.08127348,0.020832136,-0.029368399,-2.1292782,-4.7093034,-3.0169399,1.030663,0.6136929
76,0.08128037,0.020954391,-0.02934852,-2.1339848,-4.7102194,-3.0240457,1.0279118,0.5940881
77,0.08146274,0.02097394,-0.02926983,-2.133572,-4.7122874,-3.02931,1.0352496,0.59144986
78,0.081430696,0.020875609,-0.029435582,-2.1380823,-4.7136936,-3.0405807,1.0271736,0.59266895
79,0.081606805,0.021054072,-0.029298961,-2.1525447,-4.702179,-3.0661573,1.0331941,0.59624714
80,0.081689574,0.021073552,-0.029235126,-2.1546671,-4.707668,-3.0809603,1.0355833,0.59602016
81,0.08170803,0.021094682,-0.029241102,-2.156163,-4.704307,-3.0783076,1.0340047,0.573949
82,0.08170145,0.02105397,-0.029198965,-2.1626832,-4.710448,-3.0639632,1.0195696,0.58108646
83,0.08154677,0.020940067,-0.029284615,-2.1579416,-4.694981,-3.09088,1.0273424,0.56493163
84,0.08146158,0.020914039,-0.029375223,-2.1498778,-4.6956506,-3.0821245,1.0124506,0.55039597
85,0.081480086,0.020734157,-0.029245416,-2.1530218,-4.6946654,-3.0830657,1.0188465,0.5628727
86,0.08150769,0.020796683,-0.029215436,-2.1415393,-4.697873,-3.0921125,1.0074147,0.54673374
87,0.081588656,0.020812504,-0.02915981,-2.1421728,-4.709576,-3.0962865,1.0096895,0.5459589
88,0.08153584,0.020778837,-0.029084168,-2.1437554,-4.71871,-3.0968945,1.0111301,0.5169602
89,0.08149029,0.020734668,-0.029060975,-2.1310682,-4.7094736,-3.1072803,1.0170425,0.53598225
90,0.08163504,0.020929992,-0.028995344,-2.1448824,-4.7072453,-3.1130986,1.0135182,0.5388016
91,0.08162875,0.02106599,-0.02903189,-2.1421382,-4.7121167,-3.1130753,1.028375,0.5322802
92,0.08151265,0.02098036,-0.029099822,-2.13947,-4.691498,-3.1026535,1.0291433,0.53909826
93,0.08147441,0.021155803,-0.029071735,-2.1243782,-4.7034507,-3.1141994,1.0455343,0.52931744
94,0.081408605,0.021201478,-0.02898704,-2.1317737,-4.7028866,-3.0978162,1.0390612,0.5342107
95,0.081466615,0.021401014,-0.0288611,-2.1505067,-4.6962647,-3.0781674,1.0339504,0.5434802
96,0.08151295,0.021516243,-0.028809624,-2.157028,-4.6993465,-3.0686617,1.0444754,0.5437256
97,0.081635326,0.021637684,-0.028776841,-2.1577437,-4.714536,-3.0746522,1.0379144,0.5393937
98,0.08168406,0.021565882,-0.028878704,-2.146376,-4.712052,-3.0813074,1.0323128,0.5214235
99,0.08173425,0.021563495,-0.02868546,-2.1362014,-4.7202315,-3.0697813,1.0271723,0.5180916
100,0.08174546,0.021643145,-0.02861722,-2.136121,-4.7341585,-3.090282,1.0389272,0.5201127
101,0.08174049,0.02145132,-0.028638333,-2.14198,-4.7308145,-3.0876465,1.0358897,0.5084559
102,0.08172643,0.021335283,-0.028696595,-2.1478193,-4.736803,-3.08784,1.0442077,0.49888885
103,0.08180539,0.02122374,-0.028819824,-2.1597712,-4.7428756,-3.1011512,1.0374756,0.49860308
104,0.08190795,0.021141449,-0.028773345,-2.155151,-4.7424054,-3.0951052,1.046902,0.48992518
105,0.081964105,0.02108731,-0.02872778,-2.1602855,-4.750626,-3.080791,1.0404623,0.49632466
106,0.08188576,0.021007437,-0.028671071,-2.1597657,-4.752906,-3.0748303,1.0409123,0.5044857
107,0.08196445,0.02102072,-0.02864521,-2.1465132,-4.773338,-3.0806694,1.0472641,0.51841795
108,0.08209104,0.021015733,-0.028452156,-2.1581216,-4.786596,-3.0853505,1.0566232,0.52063787
109,0.082106985,0.020932993,-0.028541574,-2.1516974,-4.7929516,-3.1108937,1.0267658,0.5094235
110,0.0820099,0.020949649,-0.028511811,-2.1445563,-4.786705,-3.108276,1.0417186,0.5079619
111,0.08193261,0.020959409,-0.028543906,-2.1348634,-4.76946,-3.0973544,1.0361618,0.4919923
112,0.08191595,0.021004623,-0.028738016,-2.142568,-4.7707267,-3.1086488,1.0282975,0.49151596
113,0.08177673,0.02103321,-0.028451638,-2.136312,-4.776212,-3.1298664,1.0295457,0.4924289
114,0.0817629,0.021007594,-0.028359052,-2.1348996,-4.776819,-3.1283536,1.0350631,0.4867783
115,0.081589125,0.021014063,-0.02828901,-2.1263537,-4.780058,-3.1429956,1.0384747,0.4731534
116,0.08151103,0.020972323,-0.028341716,-2.1306388,-4.769262,-3.143121,1.0338383,0.47610208
117,0.08153331,0.0208949,-0.028395746,-2.1179879,-4.760526,-3.1075468,1.0204208,0.4724838
118,0.08161651,0.020746093,-0.02836777,-2.1021817,-4.769552,-3.1068954,1.0097536,0.4626238
119,0.081623845,0.02080503,-0.028508,-2.1027048,-4.767661,-3.0996346,1.000878,0.44445828
120,0.08167378,0.020927526,-0.028601957,-2.1089365,-4.7699404,-3.0954452,0.9944265,0.4525618
121,0.08159958,0.020814044,-0.028601458,-2.0929885,-4.7676253,-3.1100261,0.9812931,0.44963247
122,0.08171894,0.020802423,-0.028641593,-2.1096878,-4.775084,-3.0963068,0.9749897,0.43743563
123,0.08165949,0.0207935,-0.028654533,-2.114627,-4.7692537,-3.1068397,0.9868014,0.4205944
124,0.08169475,0.020854231,-0.028664008,-2.119549,-4.7605004,-3.092174,0.98031086,0.41720447
125,0.08179467,0.02092215,-0.028539535,-2.1178656,-4.774715,-3.0965695,0.9977048,0.41126314
126,0.081742294,0.020870551,-0.028418547,-2.1092615,-4.7673845,-3.0926716,0.997095,0.41190544
127,0.08170343,0.020853642,-0.028259631,-2.1014917,-4.753211,-3.0891006,0.98829293,0.40429243
128,0.08171145,0.020663433,-0.02834629,-2.1139944,-4.7668896,-3.086141,0.9795407,0.40014738
129,0.08159886,0.020693839,-0.028253434,-2.113856,-4.752366,-3.0861,0.975841,0.39952415
130,0.0814703,0.020775886,-0.028252682,-2.1040518,-4.7479386,-3.0966508,0.96903735,0.40874296
131,0.08151836,0.02063909,-0.02810894,-2.1112282,-4.7581453,-3.0978866,0.9548737,0.40310505
132,0.08166887,0.020544372,-0.028209236,-2.1133928,-4.7597556,-3.0957916,0.9612154,0.3880262
133,0.0816263,0.020684969,-0.028073955,-2.1068919,-4.7515697,-3.0953624,0.9454881,0.41415355
134,0.08166717,0.020503566,-0.027918074,-2.0991383,-4.763527,-3.0883086,0.9642958,0.4370179
135,0.08162135,0.020488042,-0.027954033,-2.099233,-4.751198,-3.083188,0.975794,0.4205953
136,0.08144082,0.0204749,-0.027834209,-2.1010962,-4.7468452,-3.0809624,0.9717051,0.4291817
137,0.08142882,0.020566816,-0.027849823,-2.0942936,-4.749446,-3.1009862,0.97174627,0.4377883
138,0.081389174,0.020566192,-0.027694602,-2.0739758,-4.763528,-3.0894742,0.9583754,0.44311765
139,0.081219815,0.020405572,-0.02760902,-2.0725467,-4.7645855,-3.0861783,0.97054356,0.4450484
140,0.081261106,0.020441871,-0.027524393,-2.0797157,-4.762066,-3.0780256,0.9807561,0.46645328
141,0.08133463,0.020299073,-0.027469032,-2.063371,-4.7700534,-3.078512,0.9590889,0.45898226
142,0.08156361,0.020288464,-0.02763374,-2.064497,-4.7683935,-3.0739052,0.9566153,0.44832513
143,0.08156516,0.02018705,-0.027768984,-2.076838,-4.779654,-3.0539315,0.95927584,0.4445291
144,0.08158866,0.020338446,-0.027821058,-2.0819287,-4.779727,-3.0513244,0.958167,0.44355494
145,0.08165931,0.0202075,-0.027839372,-2.089296,-4.789935,-3.0678892,0.9529181,0.44879004
146,0.08173684,0.020237392,-0.02773159,-2.0814986,-4.780514,-3.0620425,0.9541302,0.44346696
147,0.081723884,0.020290304,-0.027808562,-2.0948277,-4.773645,-3.0674748,0.9387246,0.4446511
148,0.08171954,0.02028813,-0.027974922,-2.1082025,-4.768037,-3.0609882,0.9349006,0.44592464
149,0.08170402,0.020227544,-0.028069168,-2.1232886,-4.758697,-3.0526788,0.93648624,0.4489048
150,0.08165135,0.020369153,-0.028066766,-2.1127028,-4.752662,-3.0506506,0.9246161,0.4422161
151,0.08174119,0.0205908,-0.028135901,-2.115423,-4.743261,-3.0604403,0.92721653,0.4517887
152,0.08170249,0.02073977,-0.02818458,-2.1076827,-4.739938,-3.053031,0.93367726,0.45851582
153,0.08169576,0.02076746,-0.02826616,-2.1096675,-4.7418103,-3.032935,0.9221128,0.45242727
154,0.08165159,0.020621208,-0.028295334,-2.114984,-4.732192,-3.0159106,0.9163254,0.43609083
155,0.08162932,0.0205484,-0.028218273,-2.103116,-4.725688,-3.013992,0.90508986,0.4501501
156,0.08168747,0.020685954,-0.028319117,-2.09061,-4.7303543,-3.0073225,0.8990167,0.4548274
157,0.081577145,0.020674909,-0.028286768,-2.0863075,-4.7429304,-3.0112562,0.8964403,0.44587457
158,0.08143774,0.020751096,-0.028336747,-2.0834887,-4.752636,-3.0038424,0.8958915,0.4520202
159,0.081582405,0.020889157,-0.028398206,-2.07971,-4.7619543,-3.005813,0.88861644,0.44753623
160,0.081675045,0.021006152,-0.028470406,-2.0689003,-4.7614927,-2.9934926,0.89568555,0.46281052
161,0.0817684,0.020972611,-0.028519606,-2.061715,-4.780112,-3.0000174,0.90947044,0.4749398
162,0.08177291,0.021049047,-0.028586037,-2.0528204,-4.7876806,-3.001541,0.89588463,0.473421
163,0.081855305,0.021197682,-0.028598184,-2.0714045,-4.801303,-2.997017,0.90048045,0.47070116
164,0.081912346,0.020976977,-0.028389858,-2.060249,-4.8112764,-2.9979243,0.8984667,0.4666405
165,0.08203142,0.020956213,-0.028331568,-2.054384,-4.8226495,-3.0049384,0.88784635,0.47826478
166,0.08201868,0.02099183,-0.02824135,-2.0504801,-4.81945,-2.9999707,0.90053654,0.49360985
167,0.08205503,0.020950966,-0.028426228,-2.0488095,-4.824499,-2.9949117,0.9045843,0.4844822
168,0.08210606,0.020901756,-0.02853624,-2.0497274,-4.8204813,-3.0006475,0.9016235,0.48927993
169,0.08237489,0.02106138,-0.028497234,-2.0413537,-4.8149533,-3.001332,0.89877015,0.49402925
170,0.08248145,0.021065496,-0.02844375,-2.043086,-4.8281207,-3.0104165,0.88908106,0.49625522
171,0.08249484,0.021044308,-0.028360127,-2.0470924,-4.8076262,-3.010034,0.8822766,0.48703998
172,0.08246933,0.02088387,-0.028474197,-2.0628872,-4.810859,-3.0080876,0.8855591,0.48995498
